City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,catabola,AO,-12.15,17.2833,64.08,86,100,0.51,overcast clouds
160,ushtobe,KZ,45.2514,77.9838,50.31,23,100,2.77,overcast clouds
161,sfantu gheorghe,RO,45.8667,25.7833,38.82,86,87,4.14,overcast clouds
162,caravelas,BR,-17.7125,-39.2481,75.07,73,1,6.51,clear sky
163,nakhodka,RU,42.8333,132.8947,50.18,73,0,7.83,clear sky
164,marfino,RU,55.7028,37.3822,50.34,42,0,15.66,clear sky
165,carupano,VE,10.6678,-63.2585,77.63,84,77,13.13,broken clouds
166,dawlatabad,AF,36.4141,64.9053,61.92,61,29,0.85,scattered clouds
167,nikolskoye,RU,59.7035,30.7861,46.29,92,43,7.58,scattered clouds
168,rumoi,JP,43.9344,141.6428,53.01,52,1,9.17,clear sky
169,gafanha da encarnacao,PT,40.6181,-8.733,54.05,79,1,20.38,clear sky
170,moose factory,CA,51.2585,-80.6094,44.6,28,0,9.22,clear sky
171,castro,BR,-24.7911,-50.0119,58.33,79,0,3.02,clear sky
172,coihaique,CL,-45.5752,-72.0662,49.95,66,75,5.75,broken clouds
173,port elizabeth,ZA,-33.918,25.5701,72.32,50,0,5.75,clear sky
174,almaznyy,RU,48.0448,40.045,39.42,87,1,7.36,clear sky
175,luderitz,NA,-26.6481,15.1594,68.99,45,2,5.39,clear sky
176,vestmannaeyjar,IS,63.4427,-20.2734,46.26,90,100,16.6,overcast clouds
177,ust-nera,RU,64.5667,143.2,19.78,91,98,3.49,overcast clouds
178,gillette,US,44.2911,-105.5022,54.52,30,40,24.16,scattered clouds
179,ponta do sol,PT,32.6667,-17.1,61.72,64,22,6.91,few clouds
180,port lincoln,AU,-34.7333,135.8667,60.62,71,97,8.59,overcast clouds
181,abu samrah,SY,35.3029,37.1841,51.39,85,0,8.16,clear sky
182,tigil,RU,57.8,158.6667,24.66,71,85,6.33,overcast clouds
183,katherine,AU,-14.4667,132.2667,75.52,73,69,6.91,broken clouds
184,srednekolymsk,RU,67.45,153.6833,23.32,79,37,2.95,scattered clouds
185,necochea,AR,-38.5473,-58.7368,58.1,94,97,5.5,light rain
186,upernavik,GL,72.7868,-56.1549,-5.73,77,38,6.08,scattered clouds
187,bontang,ID,0.1333,117.5,77.49,87,100,3.0,light rain
188,norman wells,CA,65.282,-126.8329,35.64,27,0,3.44,clear sky
189,jangaon,IN,17.7167,79.1833,80.44,63,2,10.04,clear sky
190,brae,GB,60.3964,-1.353,45.09,87,89,10.6,overcast clouds
191,katobu,ID,-4.9408,122.5276,76.57,92,100,2.33,overcast clouds
192,cotui,DO,19.0527,-70.1494,76.71,95,100,3.11,overcast clouds
193,magdagachi,RU,53.45,125.8,32.47,42,2,8.08,clear sky
194,provideniya,RU,64.3833,-173.3,32.36,69,0,4.47,clear sky
195,cidreira,BR,-30.1811,-50.2056,67.23,77,0,8.75,clear sky
196,kaeo,NZ,-35.1,173.7833,70.32,93,96,10.25,overcast clouds
197,mount isa,AU,-20.7333,139.5,73.17,25,3,9.22,clear sky
198,weihe,CN,32.9952,105.3247,51.67,91,72,0.25,broken clouds
199,kruisfontein,ZA,-34.0033,24.7314,69.44,31,92,5.1,overcast clouds
200,iralaya,HN,15.0,-83.2333,81.68,72,39,9.51,scattered clouds
201,simpang empat,MY,4.95,100.6333,75.36,93,98,2.53,overcast clouds
202,vao,NC,-22.6667,167.4833,74.95,70,2,8.81,clear sky
203,glyadyanskoye,RU,54.9075,65.0883,37.49,94,99,5.75,overcast clouds
204,ketchikan,US,55.3422,-131.6461,55.87,38,40,9.22,scattered clouds
205,vardo,NO,70.3705,31.1107,39.11,90,86,2.04,overcast clouds
206,tamworth,GB,52.634,-1.6959,49.78,73,72,4.0,broken clouds
207,dicabisagan,PH,17.0818,122.4157,78.37,85,2,1.05,clear sky
208,deputatskiy,RU,69.3,139.9,17.6,81,90,1.39,overcast clouds
209,urumqi,CN,43.801,87.6005,54.55,28,0,4.47,clear sky
210,sao joao da barra,BR,-21.6403,-41.0511,70.97,87,0,8.88,clear sky
211,chokurdakh,RU,70.6333,147.9167,17.37,92,96,2.77,overcast clouds
212,burnie,AU,-41.0667,145.9167,53.19,54,4,7.34,clear sky
213,sur,OM,22.5667,59.5289,83.68,46,93,9.86,overcast clouds
214,grindavik,IS,63.8424,-22.4338,46.35,93,75,6.91,broken clouds
215,pasighat,IN,28.0667,95.3333,68.52,82,44,2.91,scattered clouds
216,poum,NC,-20.2333,164.0167,77.95,75,15,9.84,few clouds
217,lagoa,PT,39.05,-27.9833,58.86,71,51,10.04,broken clouds
218,angoche,MZ,-16.2325,39.9086,74.16,94,82,10.4,broken clouds
219,puerto el triunfo,SV,13.2833,-88.55,94.06,63,1,9.95,clear sky
220,haradok,BY,55.4624,29.9816,50.23,70,64,15.55,broken clouds
221,vostok,RU,46.4856,135.8833,57.27,45,71,7.16,broken clouds
222,sukumo,JP,32.9333,132.7333,62.35,82,100,7.38,light rain
223,cabadiangan,PH,9.7531,122.4739,80.65,81,46,4.47,scattered clouds
224,vanimo,PG,-2.6741,141.3028,79.66,87,99,5.32,overcast clouds
225,moron,AR,-34.6534,-58.6198,73.06,69,89,4.63,light rain
226,maceio,BR,-9.6658,-35.7353,78.24,78,0,4.61,clear sky
227,paamiut,GL,61.994,-49.6678,25.75,68,100,11.79,overcast clouds
228,fortuna,US,40.5982,-124.1573,58.12,82,75,9.22,broken clouds
229,starychi,UA,49.98,23.5585,38.3,91,100,7.72,overcast clouds
230,jaguarari,BR,-10.2639,-40.1958,69.98,92,68,10.0,broken clouds
231,acajutla,SV,13.5928,-89.8275,84.54,62,1,7.09,clear sky
232,tessalit,ML,20.1986,1.0114,80.26,8,22,7.74,few clouds
233,raudeberg,NO,61.9875,5.1352,43.86,82,29,5.86,scattered clouds
234,whitehorse,CA,60.7161,-135.0538,38.01,59,75,5.75,broken clouds
235,tautira,PF,-17.7333,-149.15,80.55,74,15,9.44,few clouds
236,isla vista,US,34.4133,-119.861,75.31,55,0,13.8,clear sky
237,chipinge,ZW,-20.1883,32.6236,57.63,99,100,1.74,light rain
238,ahipara,NZ,-35.1667,173.1667,71.78,75,66,10.0,broken clouds
239,nouadhibou,MR,20.931,-17.0347,66.18,77,25,10.36,scattered clouds
240,denizli,TR,37.8402,29.0698,50.7,68,0,3.29,clear sky
241,husavik,IS,66.0449,-17.3389,41.99,89,92,9.33,overcast clouds
242,mahebourg,MU,-20.4081,57.7,76.24,94,75,1.14,broken clouds
243,qarchi gak,AF,37.04,66.7889,64.29,50,94,14.09,overcast clouds
244,zhigansk,RU,66.7697,123.3711,20.5,93,100,4.81,overcast clouds
245,clyde river,CA,70.4692,-68.5914,3.43,78,100,6.91,overcast clouds
246,atambua,ID,-9.1061,124.8925,75.15,83,100,3.36,overcast clouds
247,gueret,FR,46.1667,1.8667,45.86,95,99,1.3,overcast clouds
248,mehamn,NO,71.0357,27.8492,37.35,87,0,5.75,clear sky
249,rancho grande,BR,-23.5057,-46.3585,67.32,82,100,5.75,overcast clouds
250,riyadh,SA,24.6877,46.7219,84.34,15,26,10.94,scattered clouds
251,sturgis,US,41.7992,-85.4192,48.45,61,40,16.11,scattered clouds
252,viedma,AR,-40.8135,-62.9967,51.8,83,88,8.95,overcast clouds
253,bor,RU,56.3567,44.0669,48.13,91,40,12.17,scattered clouds
254,bella vista,US,36.4295,-94.2316,63.41,82,100,13.8,overcast clouds
255,itoman,JP,26.1247,127.6694,74.17,90,75,11.5,broken clouds
256,senador jose porfirio,BR,-2.5908,-51.9542,76.68,93,95,2.62,moderate rain
257,nishihara,JP,26.1842,127.7558,73.45,91,40,11.5,scattered clouds
258,kahului,US,20.8947,-156.47,84.22,45,20,26.46,few clouds
259,nobres,BR,-14.7203,-56.3275,76.77,69,26,0.76,scattered clouds
260,lata,PT,40.1629,-8.3327,52.07,89,2,3.62,clear sky
261,bondo,CD,3.8146,23.6866,69.31,99,94,2.3,light rain
262,pevek,RU,69.7008,170.3133,23.83,77,100,0.85,overcast clouds
263,cap malheureux,MU,-19.9842,57.6142,76.46,88,100,1.99,overcast clouds
264,kyabe,TD,9.4515,18.9449,86.4,24,100,3.44,overcast clouds
265,jadu,LY,31.953,12.0261,74.19,13,94,33.6,overcast clouds
266,geraldton,AU,-28.7667,114.6,61.21,59,95,0.0,overcast clouds
267,rundu,NA,-17.9333,19.7667,58.28,60,71,6.04,broken clouds
268,port-de-bouc,FR,43.4,4.9833,59.02,83,0,9.22,clear sky
269,vilyuysk,RU,63.7553,121.6247,22.64,93,99,4.5,overcast clouds
270,nagapattinam,IN,10.7667,79.8333,81.43,82,3,5.59,clear sky
271,cayenne,GF,4.9333,-52.3333,79.09,1,75,3.44,broken clouds
272,benin,BJ,9.5,2.25,79.88,68,100,9.57,overcast clouds
273,manga,BF,11.6636,-1.0731,90.18,35,86,5.82,overcast clouds
274,orotukan,RU,62.2667,151.7,18.25,78,14,3.96,few clouds
275,salalah,OM,17.0151,54.0924,80.69,78,40,4.61,scattered clouds
276,daru,PG,-9.0763,143.2092,80.51,83,61,6.26,broken clouds
277,makaha,US,21.4694,-158.2175,82.31,78,100,8.05,light rain
278,rocha,UY,-34.4833,-54.3333,66.83,72,54,9.53,broken clouds
279,nizhniy kuranakh,RU,58.8353,125.4869,24.15,86,99,2.84,overcast clouds
280,shinjo,JP,38.7586,140.3008,52.68,61,9,4.32,clear sky
281,pangnirtung,CA,66.1451,-65.7125,19.4,53,100,9.22,overcast clouds
282,port hedland,AU,-20.3167,118.5667,80.65,32,78,10.36,broken clouds
283,tuskegee,US,32.424,-85.6916,73.17,42,84,5.01,broken clouds
284,diffa,NE,13.3154,12.6113,83.88,18,89,4.16,overcast clouds
